net,length_um
_17638_,254.36µm
alu_out\[0\]\[1\],253.51µm
_20915_,253.505µm
_16232_,253.44µm
net671,253.41µm
net609,253.245µm
net1377,253.24µm
_15992_,253.1µm
_16719_,252.92µm
net718,252.905µm
pipe_rd_data\[0\]\[15\],252.81µm
_12477_,252.62µm
_18202_,252µm
net1374,251.82µm
_18155_,251.2µm
net727,250.925µm
net980,250.865µm
net677,250.81µm
_00553_,250.625µm
net645,250.445µm
systolic_arrays\[0\].systolic_array_inst.g_row\[0\].g_col\[0\].pe.r2_mantissa\[13\],250.37µm
pipe_rd_data\[3\]\[1\],249.93µm
net640,249.84µm
systolic_arrays\[0\].systolic_array_inst.g_row\[0\].g_col\[0\].pe.clear_acc,249.68µm
_04937_,249.36µm
_18110_,249.35µm
_16379_,248.93µm
net544,248.65µm
_18144_,248.51µm
net660,248.475µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[15\],248.26µm
_17779_,247.6µm
net865,247.52µm
systolic_arrays\[1\].systolic_array_inst.g_row\[1\].g_col\[0\].pe.r2_mantissa\[7\],247.46µm
net619,247.18µm
_10726_,247.14µm
_18268_,247.02µm
net935,246.7µm
